index,tracklist_id,tracklist_name,tracklist_date,tracklist_userpagevisits,tracklist_userlikes,tracklist_tracks_IDed,tracklist_tracks_total,genre0,DJ0,Open Air / Festival0,name,byArtist,url,id_x,time,track_number,mashup,mashup_name,beatport0,apple0,spotify0,video0,soundcloud0,apple1,soundcloud1,apple2,traxsource0,spotify1,soundcloud2,beatport1,spotify2,apple3,beatport2,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id_y,duration_ms,time_signature,genres
0,1ldcw1rk,"Hardwell @ Mainstage, Ultra Music Festival Miami, United States 2016-03-19","Sat, Mar 19 2016",346660,273,all,27,Big Room,Hardwell,Ultra Music Festival Miami,Hardwell - H-A-R-D-W-E-L-L 2016 Intro,Hardwell,/track/2btg3gjf/hardwell-h-a-r-d-w-e-l-l-intro/index.html,310549, 0:15 ,01,False,,8086549,1124002120,0oCacAS0qABXRof5L60vla,,,,,,,,,,,,,0.624,0.778,1.0,-6.429,1.0,0.0413,3.13e-06,0.00161,0.349,0.0681,128.107,0oCacAS0qABXRof5L60vla,78681.0,4.0,"big room,dance pop,deep big room,dutch house,edm,electro house,progressive electro house,progressive house,tropical house"
1,1ldcw1rk,"Hardwell @ Mainstage, Ultra Music Festival Miami, United States 2016-03-19","Sat, Mar 19 2016",346660,273,all,27,Big Room,Hardwell,Ultra Music Festival Miami,Hardwell & W&W vs. Mightyfools vs. Zedd & Lucky Date - Live The Night vs. Footrocker vs. Fall Into The Sky (Hardwell Mashup),Hardwell & W&W vs. Mightyfools vs. Zedd & Lucky Date,/track/1uz21dm5/hardwell-wandw-mightyfools-zedd-lucky-date-live-the-night-vs.-footrocker-vs.-fall-into-the-sky-hardwell-mashup/index.html,319356, 2:15 ,02,True,,,,,VUsApjOEchI,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1ldcw1rk,"Hardwell @ Mainstage, Ultra Music Festival Miami, United States 2016-03-19","Sat, Mar 19 2016",346660,273,all,27,Big Room,Hardwell,Ultra Music Festival Miami,Zedd & Lucky Date ft. Ellie Goulding - Fall Into The Sky,Zedd & Lucky Date,/track/4gzhhwx/zedd-lucky-date-fall-into-the-sky/index.html,97743,,,True,Hardwell & W&W vs. Mightyfools vs. Zedd & Lucky Date - Live The Night vs. Footrocker vs. Fall Into The Sky (Hardwell Mashup),,565825202,6xzCQrXrn0uOOKBQZK1zsF,,61971025,,,,,,,,,,,0.656,0.956,7.0,-3.635,1.0,0.0699,0.0362,0.0384,0.138,0.54,128.001,6xzCQrXrn0uOOKBQZK1zsF,217413.0,4.0,"complextro,dance pop,edm,electro house,electropop,german techno,pop,post-teen pop,tropical house"
3,1ldcw1rk,"Hardwell @ Mainstage, Ultra Music Festival Miami, United States 2016-03-19","Sat, Mar 19 2016",346660,273,all,27,Big Room,Hardwell,Ultra Music Festival Miami,Mightyfools - Footrocker,Mightyfools,/track/9g3v11p/mightyfools-footrocker/index.html,137470,,,True,Zedd & Lucky Date ft. Ellie Goulding - Fall Into The Sky,4437156,660167935,2zp566TCRQE06krunTwKpU,,95357751,892660474,95531288,,,,,,,,,0.575,0.982,11.0,-4.94,1.0,0.0644,0.00135,0.829,0.472,0.431,128.011,2zp566TCRQE06krunTwKpU,273789.0,4.0,fidget house
4,1ldcw1rk,"Hardwell @ Mainstage, Ultra Music Festival Miami, United States 2016-03-19","Sat, Mar 19 2016",346660,273,all,27,Big Room,Hardwell,Ultra Music Festival Miami,W&W & Hardwell & Lil Jon - Live The Night,W&W & Hardwell & Lil Jon,/track/pnud2tp/wandw-hardwell-lil-jon-live-the-night/index.html,247326,,,True,Mightyfools - Footrocker,8140399,1130882412,3WovUC9r899C6zVoaqzSyl,,276548307,1130882251,273139653,1177675728,5398329,4GwXdVLueKZ8YhYjZmWtYh,,,,,,0.771,0.934,3.0,-3.489,0.0,0.0923,0.000372,0.5,0.109,0.0899,127.997,3WovUC9r899C6zVoaqzSyl,273751.0,4.0,"big room,deep big room,dutch trance,edm,electro house,progressive electro house,progressive house,trance"
5,1ldcw1rk,"Hardwell @ Mainstage, Ultra Music Festival Miami, United States 2016-03-19","Sat, Mar 19 2016",346660,273,all,27,Big Room,Hardwell,Ultra Music Festival Miami,"KAAZE vs. G-Eazy & Bebe Rexha - Milk, Myself And I (Hardwell In The House Edit)",KAAZE vs. G-Eazy & Bebe Rexha,/track/2jd8twf5/kaaze-g-eazy-bebe-rexha-milk-myself-and-i-hardwell-in-the-house-edit/index.html,311236, 5:30 ,03,True,,,,,VHGfYw-Ffuw,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1ldcw1rk,"Hardwell @ Mainstage, Ultra Music Festival Miami, United States 2016-03-19","Sat, Mar 19 2016",346660,273,all,27,Big Room,Hardwell,Ultra Music Festival Miami,"G-Eazy & Bebe Rexha - Me, Myself & I",G-Eazy & Bebe Rexha,/track/21h13pl5/g-eazy-bebe-rexha-me-myself-i/index.html,297704,,,True,"KAAZE vs. G-Eazy & Bebe Rexha - Milk, Myself And I (Hardwell In The House Edit)",,1048252097,40YcuQysJ0KlGQTeGUosTC,,243089493,,,,,,,,,,,0.757,0.672,0.0,-6.524,0.0,0.0955,0.0186,0.0,0.158,0.382,111.996,40YcuQysJ0KlGQTeGUosTC,251467.0,4.0,"hip hop,indie pop rap,oakland hip hop,pop rap,rap"
7,1ldcw1rk,"Hardwell @ Mainstage, Ultra Music Festival Miami, United States 2016-03-19","Sat, Mar 19 2016",346660,273,all,27,Big Room,Hardwell,Ultra Music Festival Miami,KAAZE - Milk Man,KAAZE,/track/1ypy7zfx/kaaze-milk-man/index.html,308355,,,True,"G-Eazy & Bebe Rexha - Me, Myself & I",7939119,1114807194,3O94WeXFeSkY4beVtAmkGI,,302322404,1114807806,269035456,,,,264014008,,,,,0.725,0.763,2.0,-4.21,1.0,0.0413,0.0103,0.0203,0.096,0.167,128.009,3O94WeXFeSkY4beVtAmkGI,168648.0,4.0,"big room,deep big room,edm,electro house,pop edm,progressive electro house,sky room"
8,1ldcw1rk,"Hardwell @ Mainstage, Ultra Music Festival Miami, United States 2016-03-19","Sat, Mar 19 2016",346660,273,all,27,Big Room,Hardwell,Ultra Music Festival Miami,Swedish House Mafia & Garmiani vs. Hardwell & KURA - One vs. Calavera (Hardwell Mashup),Swedish House Mafia & Garmiani vs. Hardwell & KURA,/track/248b8h7x/swedish-house-mafia-garmiani-hardwell-kura-one-vs.-calavera-hardwell-mashup/index.html,293643, 8:12 ,04,True,,,,,m1ssAFzaCsU,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1ldcw1rk,"Hardwell @ Mainstage, Ultra Music Festival Miami, United States 2016-03-19","Sat, Mar 19 2016",346660,273,all,27,Big Room,Hardwell,Ultra Music Festival Miami,Swedish House Mafia - One,Swedish House Mafia,/track/5m9f5d5/swedish-house-mafia-one/index.html,16112,,,True,Swedish House Mafia & Garmiani vs. Hardwell & KURA - One vs. Calavera (Hardwell Mashup),,378789464,41KPpw0EZCytxNkmEMJVgr,,5208384,,,,,,,,,,,0.802,0.781,0.0,-6.564,1.0,0.0368,0.0075,0.825,0.147,0.622,125.026,41KPpw0EZCytxNkmEMJVgr,169920.0,4.0,"big room,dance pop,edm,electro house,pop,progressive electro house"
