index,tracklist_id,tracklist_name,tracklist_date,tracklist_userpagevisits,tracklist_userlikes,tracklist_tracks_IDed,tracklist_tracks_total,genre0,genre1,genre2,genre3,DJ0,DJ1,Radio Show0,name,byArtist,url,id_x,time,track_number,mashup,beatport0,apple0,spotify0,soundcloud0,apple1,spotify1,traxsource0,soundcloud1,traxsource1,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id_y,duration_ms,time_signature,genres
0,2l5u0mu9,Seven Lions & Habstrakt - Night Owl Radio 245 2020-04-24,"Fri, Apr 24 2020",1111,2,39,42,Dubstep,Trap,House,Bassline / Garage / Grime,Seven Lions,Habstrakt,Night Owl Radio,ManyFew & Voost - Off My Mind,ManyFew & Voost,/track/23lvlywx/manyfew-voost-off-my-mind/index.html,573615, 0:43 ,01,False,13443220,1507983078,3IzYy3AdSWMX4uojNyS596,815669104,,,,,,0.607,0.941,6.0,-6.817,1.0,0.0769,0.00568,0.0,0.511,0.53,124.058,3IzYy3AdSWMX4uojNyS596,190110.0,4.0,
1,2l5u0mu9,Seven Lions & Habstrakt - Night Owl Radio 245 2020-04-24,"Fri, Apr 24 2020",1111,2,39,42,Dubstep,Trap,House,Bassline / Garage / Grime,Seven Lions,Habstrakt,Night Owl Radio,Khrebto - Rave Therapy,Khrebto,/track/23lwv8y5/khrebto-rave-therapy/index.html,574936, 5:03 ,02,False,13410302,1506820508,2r9Wdy0QXhcM5xehT9YxB6,812866933,,,,,,0.615,0.94,8.0,-4.913,0.0,0.0451,0.0119,0.499,0.313,0.118,125.997,2r9Wdy0QXhcM5xehT9YxB6,206667.0,4.0,sky room
2,2l5u0mu9,Seven Lions & Habstrakt - Night Owl Radio 245 2020-04-24,"Fri, Apr 24 2020",1111,2,39,42,Dubstep,Trap,House,Bassline / Garage / Grime,Seven Lions,Habstrakt,Night Owl Radio,Galoski - All The Time,Galoski,/track/26d4u0v5/galoski-all-the-time/index.html,569628, 9:06 ,03,False,13307131,1502741841,3s4n4RlqV2rFY661ClsF3S,800635870,,,,,,0.685,0.811,7.0,-9.594,1.0,0.0502,0.149,0.78,0.113,0.712,123.988,3s4n4RlqV2rFY661ClsF3S,143804.0,4.0,macedonian electronic
3,2l5u0mu9,Seven Lions & Habstrakt - Night Owl Radio 245 2020-04-24,"Fri, Apr 24 2020",1111,2,39,42,Dubstep,Trap,House,Bassline / Garage / Grime,Seven Lions,Habstrakt,Night Owl Radio,SLVR - Stupid,SLVR,/track/xdykf8p/slvr-stupid/index.html,573194, 11:08 ,04,False,13405712,1506589546,1YPhQRuwIdCcGj6VMamiK8,811128304,,,,,,0.824,0.909,1.0,-2.654,0.0,0.0568,0.0418,0.0722,0.0822,0.543,126.046,1YPhQRuwIdCcGj6VMamiK8,164500.0,4.0,bass house
4,2l5u0mu9,Seven Lions & Habstrakt - Night Owl Radio 245 2020-04-24,"Fri, Apr 24 2020",1111,2,39,42,Dubstep,Trap,House,Bassline / Garage / Grime,Seven Lions,Habstrakt,Night Owl Radio,Tim Hox - Noctis (Jack),Tim Hox,/track/2nc3z3ff/tim-hox-noctis/index.html,567577, 14:34 ,05,False,13377006,1503533307,40p17wQOh4RgJrHnKHhYlK,819652957,1503533305,,,,,0.698,0.876,11.0,-4.598,1.0,0.0603,0.0445,0.111,0.289,0.242,126.016,40p17wQOh4RgJrHnKHhYlK,240585.0,4.0,
5,2l5u0mu9,Seven Lions & Habstrakt - Night Owl Radio 245 2020-04-24,"Fri, Apr 24 2020",1111,2,39,42,Dubstep,Trap,House,Bassline / Garage / Grime,Seven Lions,Habstrakt,Night Owl Radio,Tom Classic - This Ain't,Tom Classic,/track/20thr23p/tom-classic-this-aint/index.html,574822, 19:16 ,06,False,,1505919167,175AuJ4voDVJqWe8CWcTGb,800264452,,,,,,0.74,0.612,1.0,-6.218,1.0,0.042,0.00316,0.698,0.0748,0.384,122.977,175AuJ4voDVJqWe8CWcTGb,361000.0,4.0,
6,2l5u0mu9,Seven Lions & Habstrakt - Night Owl Radio 245 2020-04-24,"Fri, Apr 24 2020",1111,2,39,42,Dubstep,Trap,House,Bassline / Garage / Grime,Seven Lions,Habstrakt,Night Owl Radio,LaCrême - Complain,LaCrême,/track/12zrk73x/lacreme-complain/index.html,572091, 23:20 ,07,False,13307132,1502741847,3Kk8z632WQa7ePG8rbl0cE,800635273,,0ZlqiXQLCc8itsHgiBNfVl,,,,0.787,0.909,7.0,-3.984,0.0,0.0845,0.00383,0.114,0.293,0.41,124.022,3Kk8z632WQa7ePG8rbl0cE,219360.0,4.0,
7,2l5u0mu9,Seven Lions & Habstrakt - Night Owl Radio 245 2020-04-24,"Fri, Apr 24 2020",1111,2,39,42,Dubstep,Trap,House,Bassline / Garage / Grime,Seven Lions,Habstrakt,Night Owl Radio,J. Worra - Just Because,J. Worra,/track/16qy9gnp/j.-worra-just-because/index.html,572154, 27:09 ,08,False,13462833,1508239805,2lkhPxDNXTKCwxDUl4kjTP,810661066,,,7364118,,,0.802,0.766,10.0,-6.732,1.0,0.0433,0.0563,0.844,0.192,0.472,123.998,2lkhPxDNXTKCwxDUl4kjTP,220645.0,4.0,bass house
8,2l5u0mu9,Seven Lions & Habstrakt - Night Owl Radio 245 2020-04-24,"Fri, Apr 24 2020",1111,2,39,42,Dubstep,Trap,House,Bassline / Garage / Grime,Seven Lions,Habstrakt,Night Owl Radio,Biscits - Sundown,Biscits,/track/24jh3kq5/biscits-sundown/index.html,567160, 30:11 ,09,False,13319301,1504974072,4LZRX78jzFgRfo39WE7FVp,800140150,,,,798520225,,0.774,0.886,1.0,-7.569,1.0,0.0501,0.0306,0.129,0.0252,0.868,125.012,4LZRX78jzFgRfo39WE7FVp,211448.0,4.0,"bass house,deep groove house,house,uk tech house"
9,2l5u0mu9,Seven Lions & Habstrakt - Night Owl Radio 245 2020-04-24,"Fri, Apr 24 2020",1111,2,39,42,Dubstep,Trap,House,Bassline / Garage / Grime,Seven Lions,Habstrakt,Night Owl Radio,CASSIMM - Give Me That Bass,CASSIMM,/track/1kwjk63p/cassimm-give-me-that-bass/index.html,570214, 34:00 ,10,False,13288379,1502274392,6rf8xYCjinFX3wczTygdRC,802788304,,,,,,0.809,0.991,9.0,-7.141,0.0,0.0585,0.00653,0.891,0.127,0.952,125.005,6rf8xYCjinFX3wczTygdRC,210240.0,4.0,groove room
